1,0.000004,0.000005
2,0.000002,0.000003
3,0.000003,0.000004
4,0.000003,0.000003
5,0.000003,0.000003
6,0.000004,0.000003
7,0.000005,0.000003
8,0.000007,0.000015
9,0.000010,0.000004
10,0.000035,0.000004
11,0.000038,0.000005
12,0.000040,0.000005
13,0.000064,0.000004
14,0.000114,0.000005
15,0.000181,0.000006
16,0.000267,0.000005
17,0.000424,0.000005
18,0.000725,0.000018
19,0.001160,0.000008
20,0.001834,0.000008
21,0.002841,0.000006
22,0.004629,0.000007
23,0.007426,0.000007
24,0.012778,0.000018
25,0.019684,0.000014
